,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
147,263,2016-09-02,Tsawwassen to Duke Point,2 hours,Queen of Alberni,5:15 AM,5:21 AM,7:17 AM,On Time,515,1,4,6,11
148,264,2016-09-02,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,7:45 AM,7:46 AM,9:45 AM,On Time,745,1,5,1,12
149,265,2016-09-02,Tsawwassen to Duke Point,2 hours,Queen of Alberni,10:15 AM,10:16 AM,12:17 PM,On Time,1015,1,1,1,12
150,266,2016-09-02,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,12:45 PM,12:48 PM,2:47 PM,On Time,1245,1,2,3,14
151,267,2016-09-02,Tsawwassen to Duke Point,2 hours,Queen of Alberni,3:15 PM,3:22 PM,...,On Time,1515,1,3,7,17
152,268,2016-09-02,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,5:45 PM,6:00 PM,7:52 PM,Traffic delays,1745,3,1,15,15
153,269,2016-09-02,Tsawwassen to Duke Point,2 hours,Queen of Alberni,8:15 PM,8:14 PM,10:16 PM,On Time,2015,2,5,-1,12
154,270,2016-09-02,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,10:45 PM,10:45 PM,ETA: 12:45 AM,On Time,2245,3,3,0,12
155,271,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,7:00 AM,7:01 AM,7:35 AM,On Time,700,1,5,1,12
156,272,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,9:00 AM,9:01 AM,9:33 AM,On Time,900,1,2,1,12
157,273,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,11:00 AM,11:01 AM,11:35 AM,On Time,1100,1,2,1,13
158,274,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,1:00 PM,12:58 PM,1:33 PM,On Time,1300,1,2,-2,15
159,275,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,3:00 PM,3:02 PM,3:37 PM,On Time,1500,1,3,2,17
160,276,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,5:00 PM,5:01 PM,5:35 PM,On Time,1700,3,1,1,15
161,277,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,7:00 PM,6:59 PM,7:35 PM,On Time,1900,2,1,-1,13
162,278,2016-09-02,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,9:00 PM,8:58 PM,9:32 PM,On Time,2100,2,5,-2,11
163,279,2016-09-02,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,5:10 AM,5:13 AM,...,On Time,510,1,4,3,11
164,280,2016-09-02,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,5:15 AM,5:18 AM,...,On Time,515,1,4,3,11
